FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Anhui,China,2020-01-22,,,1,,,,
,,Beijing,China,2020-01-22,,,14,,,,
,,Chongqing,China,2020-01-22,,,6,,,,
,,Fujian,China,2020-01-22,,,1,,,,
,,Gansu,China,2020-01-22,,,,,,,
,,Guangdong,China,2020-01-22,,,26,,,,
,,Guangxi,China,2020-01-22,,,2,,,,
,,Guizhou,China,2020-01-22,,,1,,,,
,,Hainan,China,2020-01-22,,,4,,,,
,,Hebei,China,2020-01-22,,,1,,,,
,,Heilongjiang,China,2020-01-22,,,,,,,
,,Henan,China,2020-01-22,,,5,,,,
,,Hong Kong,Hong Kong,2020-01-22,,,,,,,
,,Hubei,China,2020-01-22,,,444,17,28,,
,,Hunan,China,2020-01-22,,,4,,,,
,,Inner Mongolia,China,2020-01-22,,,,,,,
,,Jiangsu,China,2020-01-22,,,1,,,,
,,Jiangxi,China,2020-01-22,,,2,,,,
,,Jilin,China,2020-01-22,,,,,,,
,,Liaoning,China,2020-01-22,,,2,,,,
,,Macau,Macau,2020-01-22,,,1,,,,
,,Ningxia,China,2020-01-22,,,1,,,,
,,Qinghai,China,2020-01-22,,,,,,,
,,Shaanxi,China,2020-01-22,,,,,,,
,,Shandong,China,2020-01-22,,,2,,,,
,,Shanghai,China,2020-01-22,,,9,,,,
,,Shanxi,China,2020-01-22,,,1,,,,
,,Sichuan,China,2020-01-22,,,5,,,,
,,Taiwan,Taiwan,2020-01-22,,,1,,,,
,,Tianjin,China,2020-01-22,,,4,,,,
,,Tibet,China,2020-01-22,,,,,,,
,,Washington,US,2020-01-22,,,1,,,,
,,Xinjiang,China,2020-01-22,,,,,,,
,,Yunnan,China,2020-01-22,,,1,,,,
,,Zhejiang,China,2020-01-22,,,10,,,,
,,,Japan,2020-01-22,,,2,,,,
,,,Thailand,2020-01-22,,,2,,,,
,,,South Korea,2020-01-22,,,1,,,,
,,Hubei,China,2020-01-31,,,5806,204,141,,
,,Zhejiang,China,2020-01-31,,,538,,14,,
,,Guangdong,China,2020-01-31,,,436,,11,,
,,Henan,China,2020-01-31,,,352,2,3,,
,,Hunan,China,2020-01-31,,,332,,2,,
,,Jiangxi,China,2020-01-31,,,240,,7,,
,,Anhui,China,2020-01-31,,,237,,3,,
,,Chongqing,China,2020-01-31,,,211,,1,,
,,Shandong,China,2020-01-31,,,184,,2,,
,,Sichuan,China,2020-01-31,,,177,1,1,,
,,Jiangsu,China,2020-01-31,,,168,,5,,
,,Beijing,China,2020-01-31,,,139,1,5,,
,,Shanghai,China,2020-01-31,,,135,1,9,,
,,Fujian,China,2020-01-31,,,120,,,,
,,Guangxi,China,2020-01-31,,,87,,2,,
,,Shaanxi,China,2020-01-31,,,87,,,,
,,Yunnan,China,2020-01-31,,,83,,1,,
,,Hebei,China,2020-01-31,,,82,1,,,
,,Heilongjiang,China,2020-01-31,,,59,2,,,
,,Hainan,China,2020-01-31,,,52,1,1,,
,,Liaoning,China,2020-01-31,,,48,,1,,
,,Shanxi,China,2020-01-31,,,39,,1,,
,,Tianjin,China,2020-01-31,,,32,,,,
,,Guizhou,China,2020-01-31,,,29,,2,,
,,Gansu,China,2020-01-31,,,29,,,,
,,Ningxia,China,2020-01-31,,,21,,,,
,,Inner Mongolia,China,2020-01-31,,,20,,1,,
,,Xinjiang,China,2020-01-31,,,17,,,,
,,Jilin,China,2020-01-31,,,14,,1,,
,,Hong Kong,Hong Kong,2020-01-31,,,12,,,,
,,Taiwan,Taiwan,2020-01-31,,,10,,,,
,,Qinghai,China,2020-01-31,,,8,,,,
,,Macau,Macau,2020-01-31,,,7,,,,
,,Tibet,China,2020-01-31,,,1,,,,
,,,Thailand,2020-01-31,,,19,,5,,
,,,Japan,2020-01-31,,,15,,1,,
,,,Singapore,2020-01-31,,,13,,,,
,,,South Korea,2020-01-31,,,11,,,,
,,,Malaysia,2020-01-31,,,8,,,,
,,,France,2020-01-31,,,5,,,,
,,Bavaria,Germany,2020-01-31,,,5,,,,
,,New South Wales,Australia,2020-01-31,,,4,,2,,
,,,United Arab Emirates,2020-01-31,,,4,,,,
,,Victoria,Australia,2020-01-31,,,3,,,,
,,Illinois,US,2020-01-31,,,2,,,,
,,California,US,2020-01-31,,,2,,,,
,,,Vietnam,2020-01-31,,,2,,,,
,,Ontario,Canada,2020-01-31,,,2,,,,
,,Queensland,Australia,2020-01-31,,,2,,,,
,,,Italy,2020-01-31,,,2,,,,
,,,UK,2020-01-31,,,2,,,,
,,,Russia,2020-01-31,,,2,,,,
,,Washington,US,2020-01-31,,,1,,,,
,,Arizona,US,2020-01-31,,,1,,,,
,,,Nepal,2020-01-31,,,1,,,,
,,British Columbia,Canada,2020-01-31,,,1,,,,
,,,Cambodia,2020-01-31,,,1,,,,
,,,Sri Lanka,2020-01-31,,,1,,,,
,,,Finland,2020-01-31,,,1,,,,
,,,Philippines,2020-01-31,,,1,,,,
,,,India,2020-01-31,,,1,,,,
,,,Sweden,2020-01-31,,,1,,,,
,,Hubei,China,2020-02-01,,,7153,249,168,,
,,Zhejiang,China,2020-02-01,,,599,0,21,,
,,Guangdong,China,2020-02-01,,,535,0,14,,
,,Henan,China,2020-02-01,,,422,2,3,,
,,Hunan,China,2020-02-01,,,389,0,8,,
,,Anhui,China,2020-02-01,,,297,0,5,,
,,Jiangxi,China,2020-02-01,,,286,0,9,,
,,Chongqing,China,2020-02-01,,,247,1,3,,
,,Sichuan,China,2020-02-01,,,207,1,3,,
