Country_Region,Province_State,Last_Update,Confirmed,Deaths,ConfirmedPrevious,ConfirmedDailyIncrease,DeathsPrevious,DeathsDailyIncrease,ConfirmedPreviousIncrease,DeathsPreviousIncrease,ConfirmedSDSMA4,DeathsSDSMA4
US," Norfolk County, MA",2020-03-03,7,0,,,,,,,,
US,Alabama,2020-03-13,23,0,,,,,,,,
US,Alabama,2020-03-16,586,0,23,563,0,0,,,,
US,Alabama,2020-03-23,3933,20,586,3347,0,20,563,0,2784,20
US,Alabama,2020-03-30,9843,219,3933,5910,20,199,3347,20,2563,179
US,Alabama,2020-04-06,20080,514,9843,10237,219,295,5910,199,4327,96
US,Alabama,2020-04-13,31006,922,20080,10926,514,408,10237,295,689,113
US,Alabama,2020-04-20,40999,1381,31006,9993,922,459,10926,408,-933,51
US,Alabama,2020-04-27,50724,1865,40999,9725,1381,484,9993,459,-268,25
US,Alabama,2020-05-04,63746,2491,50724,13022,1865,626,9725,484,3297,142
US,Alabama,2020-05-11,78270,3217,63746,14524,2491,726,13022,626,1502,100
US,Alabama,2020-05-18,94997,3685,78270,16727,3217,468,14524,726,2203,-258
US,Alabama,2020-05-25,117371,4178,94997,22374,3685,493,16727,468,5647,25
US,Alabama,2020-06-01,136517,4662,117371,19146,4178,484,22374,493,-3228,-9
US,Alabama,2020-06-08,165082,5261,136517,28565,4662,599,19146,484,9419,115
US,Alabama,2020-06-15,199166,5658,165082,34084,5261,397,28565,599,5519,-202
US,Alabama,2020-06-22,235907,6237,199166,36741,5658,579,34084,397,2657,182
US,Alabama,2020-06-29,286546,6856,235907,50639,6237,619,36741,579,13898,40
US,Alabama,2020-07-06,348036,7505,286546,61490,6856,649,50639,619,10851,30
US,Alabama,2020-07-13,434840,8567,348036,86804,7505,1062,61490,649,25314,413
US,Alabama,2020-07-20,522046,9722,434840,87206,8567,1155,86804,1062,402,93
US,Alabama,2020-07-27,605293,10895,522046,83247,9722,1173,87206,1155,-3959,18
US,Alabama,2020-08-03,678541,11966,605293,73248,10895,1071,83247,1173,-9999,-102
US,Alabama,2020-08-10,735760,13103,678541,57219,11966,1137,73248,1071,-16029,66
US,Alabama,2020-08-17,788446,13799,735760,52686,13103,696,57219,1137,-4533,-441
US,Alabama,2020-08-24,847158,14603,788446,58712,13799,804,52686,696,6026,108
US,Alabama,2020-08-31,904176,15649,847158,57018,14603,1046,58712,804,-1694,242
US,Alabama,2020-09-07,945559,16173,904176,41383,15649,524,57018,1046,-15635,-522
US,Alabama,2020-09-14,990827,16837,945559,45268,16173,664,41383,524,3885,140
US,Alabama,2020-09-21,1040029,17383,990827,49202,16837,546,45268,664,3934,-118
US,Alabama,2020-09-28,1090733,17772,1040029,50704,17383,389,49202,546,1502,-157
US,Alabama,2020-10-05,1137738,18358,1090733,47005,17772,586,50704,389,-3699,197
US,Alabama,2020-10-12,1188671,19154,1137738,50933,18358,796,47005,586,3928,210
US,Alabama,2020-10-19,1257451,19856,1188671,68780,19154,702,50933,796,17847,-94
US,Alabama,2020-10-26,1332096,20455,1257451,74645,19856,599,68780,702,5865,-103
US,Alabama,2020-11-02,1402965,21207,1332096,70869,20455,752,74645,599,-3776,153
US,Alabama,2020-11-09,1479641,22343,1402965,76676,21207,1136,70869,752,5807,384
US,Alabama,2020-11-16,1581063,23681,1479641,101422,22343,1338,76676,1136,24746,202
US,Alabama,2020-11-23,1687316,24756,1581063,106253,23681,1075,101422,1338,4831,-263
US,Alabama,2020-11-30,1821276,26300,1687316,133960,24756,1544,106253,1075,27707,469
US,"Alameda County, CA",2020-03-07,4,0,,,,,,,,
US,"Alameda County, CA",2020-03-09,2,0,4,-2,0,0,,,,
US,Alaska,2020-03-10,2,0,,,,,,,,
US,Alaska,2020-03-16,66,0,2,64,0,0,,,,
US,Alaska,2020-03-23,406,7,66,340,0,7,64,0,276,7
US,Alaska,2020-03-30,1021,26,406,615,7,19,340,7,275,12
US,Alaska,2020-04-06,1639,49,1021,618,26,23,615,19,3,4
US,Alaska,2020-04-13,2097,62,1639,458,49,13,618,23,-160,-10
US,Alaska,2020-04-20,2340,63,2097,243,62,1,458,13,-215,-12
US,Alaska,2020-04-27,2503,63,2340,163,63,0,243,1,-80,-1
US,Alaska,2020-05-04,2621,68,2503,118,63,5,163,0,-45,5
US,Alaska,2020-05-11,2692,70,2621,71,68,2,118,5,-47,-3
US,Alaska,2020-05-18,2807,70,2692,115,70,0,71,2,44,-2
US,Alaska,2020-05-25,2974,70,2807,167,70,0,115,0,52,0
US,Alaska,2020-06-01,3569,70,2974,595,70,0,167,0,428,0
US,Alaska,2020-06-08,4272,79,3569,703,70,9,595,0,108,9
US,Alaska,2020-06-15,4953,84,4272,681,79,5,703,9,-22,-4
US,Alaska,2020-06-22,5684,90,4953,731,84,6,681,5,50,1
US,Alaska,2020-06-29,7128,103,5684,1444,90,13,731,6,713,7
US,Alaska,2020-07-06,9019,118,7128,1891,103,15,1444,13,447,2
US,Alaska,2020-07-13,11847,121,9019,2828,118,3,1891,15,937,-12
US,Alaska,2020-07-20,15429,133,11847,3582,121,12,2828,3,754,9
US,Alaska,2020-07-27,20436,159,15429,5007,133,26,3582,12,1425,14
US,Alaska,2020-08-03,24526,177,20436,4090,159,18,5007,26,-917,-8
US,Alaska,2020-08-10,27923,189,24526,3397,177,12,4090,18,-693,-6
US,Alaska,2020-08-17,31644,208,27923,3721,189,19,3397,12,324,7
US,Alaska,2020-08-24,35022,253,31644,3378,208,45,3721,19,-343,26
US,Alaska,2020-08-31,38407,279,35022,3385,253,26,3378,45,7,-19
US,Alaska,2020-09-07,42103,299,38407,3696,279,20,3385,26,311,-6
US,Alaska,2020-09-14,45891,311,42103,3788,299,12,3696,20,92,-8
US,Alaska,2020-09-21,50066,341,45891,4175,311,30,3788,12,387,18
US,Alaska,2020-09-28,55786,398,50066,5720,341,57,4175,30,1545,27
US,Alaska,2020-10-05,63547,415,55786,7761,398,17,5720,57,2041,-40
US,Alaska,2020-10-12,72687,449,63547,9140,415,34,7761,17,1379,17
US,Alaska,2020-10-19,83616,474,72687,10929,449,25,9140,34,1789,-9
US,Alaska,2020-10-26,107799,532,83616,24183,474,58,10929,25,13254,33
US,Alaska,2020-11-02,128370,588,107799,20571,532,56,24183,58,-3612,-2
US,Alaska,2020-11-09,153647,661,128370,25277,588,73,20571,56,4706,17
US,Alaska,2020-11-16,182650,705,153647,29003,661,44,25277,73,3726,-29
US,Alaska,2020-11-23,211066,815,182650,28416,705,110,29003,44,-587,66
US,Alaska,2020-11-30,242688,923,211066,31622,815,108,28416,110,3206,-2
US,"American Samoa",2020-03-22,0,0,,,,,,,,
US,"American Samoa",2020-03-23,0,0,0,0,0,0,,,,
US,"American Samoa",2020-03-30,0,0,0,0,0,0,0,0,0,0
US,Arizona,2020-01-26,1,0.0,,,,,,,,
US,Arizona,2020-01-27,5,0.0,1,4,0.0,0.0,,,,
US,Arizona,2020-03-10,58,0,5,53,0.0,0.0,4,0.0,49,0.0
US,Arizona,2020-03-16,458,3,58,400,0,3,53,0.0,347,3.0
US,Arizona,2020-03-23,3827,66,458,3369,3,63,400,3,2969,60
US,Arizona,2020-03-30,12301,262,3827,8474,66,196,3369,63,5105,133
US,Arizona,2020-04-06,21703,627,12301,9402,262,365,8474,196,928,169
US,Arizona,2020-04-13,29883,1078,21703,8180,627,451,9402,365,-1222,86
US,Arizona,2020-04-20,40434,1693,29883,10551,1078,615,8180,451,2371,164
US,Arizona,2020-04-27,53517,2200,40434,13083,1693,507,10551,615,2532,-108
US,Arizona,2020-05-04,70486,3218,53517,16969,2200,1018,13083,507,3886,511
US,Arizona,2020-05-11,88789,4333,70486,18303,3218,1115,16969,1018,1334,97
US,Arizona,2020-05-18,107092,5280,88789,18303,4333,947,18303,1115,0,-168
US,Arizona,2020-05-25,126300,6008,107092,19208,5280,728,18303,947,905,-219
US,Arizona,2020-06-01,163514,6952,126300,37214,6008,944,19208,728,18006,216
US,Arizona,2020-06-08,220498,7901,163514,56984,6952,949,37214,944,19770,5
US,Arizona,2020-06-15,310039,8979,220498,89541,7901,1078,56984,949,32557,129
US,Arizona,2020-06-22,447151,10419,310039,137112,8979,1440,89541,1078,47571,362
US,Arizona,2020-06-29,609865,12172,447151,162714,10419,1753,137112,1440,25602,313
US,Arizona,2020-07-06,787123,14227,609865,177258,12172,2055,162714,1753,14544,302
US,Arizona,2020-07-13,941300,17583,787123,154177,14227,3356,177258,2055,-23081,1301
US,Arizona,2020-07-20,1075775,21473,941300,134475,17583,3890,154177,3356,-19702,534
US,Arizona,2020-07-27,1198311,24998,1075775,122536,21473,3525,134475,3890,-11939,-365
US,Arizona,2020-08-03,1283944,27926,1198311,85633,24998,2928,122536,3525,-36903,-597
US,Arizona,2020-08-10,1334409,30504,1283944,50465,27926,2578,85633,2928,-35168,-350
US,Arizona,2020-08-17,1373659,32568,1334409,39250,30504,2064,50465,2578,-11215,-514
US,Arizona,2020-08-24,1400891,34403,1373659,27232,32568,1835,39250,2064,-12018,-229
US,Arizona,2020-08-31,1426956,35867,1400891,26065,34403,1464,27232,1835,-1167,-371
US,Arizona,2020-09-07,1449715,36889,1426956,22759,35867,1022,26065,1464,-3306,-442
US,Arizona,2020-09-14,1480015,37841,1449715,30300,36889,952,22759,1022,7541,-70
US,Arizona,2020-09-21,1510663,38892,1480015,30648,37841,1051,30300,952,348,99
US,Arizona,2020-09-28,1534329,39684,1510663,23666,38892,792,30648,1051,-6982,-259
US,Arizona,2020-10-05,1563580,40160,1534329,29251,39684,476,23666,792,5585,-316
US,Arizona,2020-10-12,1600261,40544,1563580,36681,40160,384,29251,476,7430,-92
US,Arizona,2020-10-19,1644469,40988,1600261,44208,40544,444,36681,384,7527,60
US,Arizona,2020-10-26,1700195,41481,1644469,55726,40988,493,44208,444,11518,49
US,Arizona,2020-11-02,1772770,42568,1700195,72575,41481,1087,55726,493,16849,594
US,Arizona,2020-11-09,1872623,43683,1772770,99853,42568,1115,72575,1087,27278,28
US,Arizona,2020-11-16,2013830,44711,1872623,141207,43683,1028,99853,1115,41354,-87
US,Arizona,2020-11-23,2201773,45917,2013830,187943,44711,1206,141207,1028,46736,178
US,Arizona,2020-11-30,2426633,47646,2201773,224860,45917,1729,187943,1206,36917,523
US,Arkansas,2020-03-10,41,0,,,,,,,,
US,Arkansas,2020-03-16,522,0,41,481,0,0,,,,
US,Arkansas,2020-03-23,2242,20,522,1720,0,20,481,0,1239,20
US,Arkansas,2020-03-30,4507,79,2242,2265,20,59,1720,20,545,39
US,Arkansas,2020-04-06,7619,146,4507,3112,79,67,2265,59,847,8
US,Arkansas,2020-04-13,11317,245,7619,3698,146,99,3112,67,586,32
US,Arkansas,2020-04-20,17560,316,11317,6243,245,71,3698,99,2545,-28
US,Arkansas,2020-04-27,22816,438,17560,5256,316,122,6243,71,-987,51
US,Arkansas,2020-05-04,25836,604,22816,3020,438,166,5256,122,-2236,44
US,Arkansas,2020-05-11,30609,678,25836,4773,604,74,3020,166,1753,-92
US,Arkansas,2020-05-18,37506,763,30609,6897,678,85,4773,74,2124,11
US,Arkansas,2020-05-25,46067,879,37506,8561,763,116,6897,85,1664,31
US,Arkansas,2020-06-01,58931,1022,46067,12864,879,143,8561,116,4303,27
US,Arkansas,2020-06-08,77147,1184,58931,18216,1022,162,12864,143,5352,19
US,Arkansas,2020-06-15,98976,1438,77147,21829,1184,254,18216,162,3613,92
US,Arkansas,2020-06-22,126066,1716,98976,27090,1438,278,21829,254,5261,24
US,Arkansas,2020-06-29,153951,1945,126066,27885,1716,229,27090,278,795,-49
US,Arkansas,2020-07-06,183097,2160,153951,29146,1945,215,27885,229,1261,-14
US,Arkansas,2020-07-13,217685,2397,183097,34588,2160,237,29146,215,5442,22
US,Arkansas,2020-07-20,253940,2697,217685,36255,2397,300,34588,237,1667,63
US,Arkansas,2020-07-27,291849,3087,253940,37909,2697,390,36255,300,1654,90
US,Arkansas,2020-08-03,329532,3588,291849,37683,3087,501,37909,390,-226,111
US,Arkansas,2020-08-10,360350,4061,329532,30818,3588,473,37683,501,-6865,-28
US,Arkansas,2020-08-17,383970,4518,360350,23620,4061,457,30818,473,-7198,-16
US,Arkansas,2020-08-24,411853,5190,383970,27883,4518,672,23620,457,4263,215
US,Arkansas,2020-08-31,442156,5962,411853,30303,5190,772,27883,672,2420,100
US,Arkansas,2020-09-07,472798,6596,442156,30642,5962,634,30303,772,339,-138
US,Arkansas,2020-09-14,512519,8000,472798,39721,6596,1404,30642,634,9079,770
US,Arkansas,2020-09-21,552300,8740,512519,39781,8000,740,39721,1404,60,-664
US,Arkansas,2020-09-28,592639,9655,552300,40339,8740,915,39781,740,558,175
US,Arkansas,2020-10-05,630891,10552,592639,38252,9655,897,40339,915,-2087,-18
US,Arkansas,2020-10-12,674451,11529,630891,43560,10552,977,38252,897,5308,80
US,Arkansas,2020-10-19,720000,12356,674451,45549,11529,827,43560,977,1989,-150
US,Arkansas,2020-10-26,768879,13242,720000,48879,12356,886,45549,827,3330,59
US,Arkansas,2020-11-02,823256,14260,768879,54377,13242,1018,48879,886,5498,132
US,Arkansas,2020-11-09,896773,14980,823256,73517,14260,720,54377,1018,19140,-298
US,Arkansas,2020-11-16,978632,16057,896773,81859,14980,1077,73517,720,8342,357
US,Arkansas,2020-11-23,1062354,17008,978632,83722,16057,951,81859,1077,1863,-126
US,Arkansas,2020-11-30,1149942,17957,1062354,87588,17008,949,83722,951,3866,-2
US,"Ashland, NE",2020-02-21,11,0,,,,,,,,
US,"Bennington County, VT",2020-03-09,1,0,,,,,,,,
US,"Bergen County, NJ",2020-03-05,12,0,,,,,,,,
US,"Bergen County, NJ",2020-03-09,4,0,12,-8,0,0,,,,
US,"Berkeley, CA",2020-03-03,4,0,,,,,,,,
US,"Berkshire County, MA",2020-03-08,1,0,,,,,,,,
US,"Berkshire County, MA",2020-03-09,1,0,1,0,0,0,,,,
US,"Boston, MA",2020-02-01,2,0,,,,,,,,
US,"Boston, MA",2020-02-03,7,0,2,5,0,0,,,,
US,"Boston, MA",2020-02-10,7,0,7,0,0,0,5,0,-5,0
US,"Boston, MA",2020-02-17,7,0,7,0,0,0,0,0,0,0
US,"Boston, MA",2020-02-24,7,0,7,0,0,0,0,0,0,0
US,"Boston, MA",2020-03-02,4,0,7,-3,0,0,0,0,-3,0
US,"Broward County, FL",2020-03-07,4,0,,,,,,,,
US,"Broward County, FL",2020-03-09,3,0,4,-1,0,0,,,,
US,California,2020-01-26,2,0.0,,,,,,,,
US,California,2020-01-27,10,0.0,2,8,0.0,0.0,,,,
US,California,2020-03-10,1590,24,10,1580,0.0,24.0,8,0.0,1572,24.0
US,California,2020-03-16,7145,127,1590,5555,24,103,1580,24.0,3975,79.0
US,California,2020-03-23,27147,563,7145,20002,127,436,5555,103,14447,333
US,California,2020-03-30,75395,1658,27147,48248,563,1095,20002,436,28246,659
US,California,2020-04-06,137559,3678,75395,62164,1658,2020,48248,1095,13916,925
US,California,2020-04-13,194729,6651,137559,57170,3678,2973,62164,2020,-4994,953
US,California,2020-04-20,273337,10496,194729,78608,6651,3845,57170,2973,21438,872
US,California,2020-04-27,350283,14142,273337,76946,10496,3646,78608,3845,-1662,-199
US,California,2020-05-04,435041,17674,350283,84758,14142,3532,76946,3646,7812,-114
US,California,2020-05-11,523560,21251,435041,88519,17674,3577,84758,3532,3761,45
US,California,2020-05-18,616048,24920,523560,92488,21251,3669,88519,3577,3969,92
US,California,2020-05-25,729118,27869,616048,113070,24920,2949,92488,3669,20582,-720
US,California,2020-06-01,858410,31108,729118,129292,27869,3239,113070,2949,16222,290
US,California,2020-06-08,1002526,34343,858410,144116,31108,3235,129292,3239,14824,-4
US,California,2020-06-15,1169192,37375,1002526,166666,34343,3032,144116,3235,22550,-203
US,California,2020-06-22,1406003,40422,1169192,236811,37375,3047,166666,3032,70145,15
US,California,2020-06-29,1708199,43521,1406003,302196,40422,3099,236811,3047,65385,52
US,California,2020-07-06,2104280,47624,1708199,396081,43521,4103,302196,3099,93885,1004
US,California,2020-07-13,2540069,52223,2104280,435789,47624,4599,396081,4103,39708,496
US,California,2020-07-20,2998159,57099,2540069,458090,52223,4876,435789,4599,22301,277
US,California,2020-07-27,3426074,63062,2998159,427915,57099,5963,458090,4876,-30175,1087
US,California,2020-08-03,3776429,69771,3426074,350355,63062,6709,427915,5963,-77560,746
US,California,2020-08-10,4197505,76231,3776429,421076,69771,6460,350355,6709,70721,-249
US,California,2020-08-17,4559711,82530,4197505,362206,76231,6299,421076,6460,-58870,-161
US,California,2020-08-24,4840792,88462,4559711,281081,82530,5932,362206,6299,-81125,-367
US,California,2020-08-31,5080223,94060,4840792,239431,88462,5598,281081,5932,-41650,-334
US,California,2020-09-07,5259126,98576,5080223,178903,94060,4516,239431,5598,-60528,-1082
US,California,2020-09-14,5428668,103455,5259126,169542,98576,4879,178903,4516,-9361,363
US,California,2020-09-21,5600114,107634,5428668,171446,103455,4179,169542,4879,1904,-700
US,California,2020-09-28,5757932,111589,5600114,157818,107634,3955,171446,4179,-13628,-224
US,California,2020-10-05,5917583,114803,5757932,159651,111589,3214,157818,3955,1833,-741
US,California,2020-10-12,6073134,117636,5917583,155551,114803,2833,159651,3214,-4100,-381
US,California,2020-10-19,6252773,120466,6073134,179639,117636,2830,155551,2833,24088,-3
US,California,2020-10-26,6464299,122882,6252773,211526,120466,2416,179639,2830,31887,-414
US,California,2020-11-02,6698872,124967,6464299,234573,122882,2085,211526,2416,23047,-331
US,California,2020-11-09,7039148,127050,6698872,340276,124967,2083,234573,2085,105703,-2
US,California,2020-11-16,7544898,129668,7039148,505750,127050,2618,340276,2083,165474,535
US,California,2020-11-23,8207825,132964,7544898,662927,129668,3296,505750,2618,157177,678
US,California,2020-11-30,9042959,136972,8207825,835134,132964,4008,662927,3296,172207,712
US,"Carver County, MN",2020-03-09,1,0,,,,,,,,
US,"Charleston County, SC",2020-03-07,2,0,,,,,,,,
US,"Charleston County, SC",2020-03-09,1,0,2,-1,0,0,,,,
US,"Charlotte County, FL",2020-03-09,1,0,,,,,,,,
US,"Chatham County, NC",2020-03-06,3,0,,,,,,,,
US,"Chatham County, NC",2020-03-09,1,0,3,-2,0,0,,,,
US,"Cherokee County, GA",2020-03-09,1,0,,,,,,,,
US,Chicago,2020-01-24,1,0.0,,,,,,,,
US,"Chicago, IL",2020-02-01,4,0,,,,,,,,
US,"Chicago, IL",2020-02-03,14,0,4,10,0,0,,,,
US,"Chicago, IL",2020-02-10,14,0,14,0,0,0,10,0,-10,0
US,"Chicago, IL",2020-02-17,14,0,14,0,0,0,0,0,0,0
US,"Chicago, IL",2020-02-24,15,0,14,1,0,0,0,0,1,0
US,"Clark County, NV",2020-03-05,5,0,,,,,,,,
US,"Clark County, NV",2020-03-09,2,0,5,-3,0,0,,,,
US,"Clark County, WA",2020-03-07,2,0,,,,,,,,
US,"Clark County, WA",2020-03-09,1,0,2,-1,0,0,,,,
US,"Cobb County, GA",2020-03-07,2,0,,,,,,,,
US,"Cobb County, GA",2020-03-09,3,0,2,1,0,0,,,,
US,"Collin County, TX",2020-03-09,1,0,,,,,,,,
US,Colorado,2020-03-10,375,2,,,,,,,,
US,Colorado,2020-03-16,2125,23,375,1750,2,21,,,,
US,Colorado,2020-03-23,9358,155,2125,7233,23,132,1750,21,5483,111
US,Colorado,2020-03-30,24481,613,9358,15123,155,458,7233,132,7890,326
US,Colorado,2020-04-06,41944,1480,24481,17463,613,867,15123,458,2340,409
US,Colorado,2020-04-13,59351,2497,41944,17407,1480,1017,17463,867,-56,150
US,Colorado,2020-04-20,81037,4007,59351,21686,2497,1510,17407,1017,4279,493
US,Colorado,2020-04-27,106890,5480,81037,25853,4007,1473,21686,1510,4167,-37
US,Colorado,2020-05-04,128392,6515,106890,21502,5480,1035,25853,1473,-4351,-438
US,Colorado,2020-05-11,146152,7702,128392,17760,6515,1187,21502,1035,-3742,152
US,Colorado,2020-05-18,162297,9073,146152,16145,7702,1371,17760,1187,-1615,184
US,Colorado,2020-05-25,176810,9822,162297,14513,9073,749,16145,1371,-1632,-622
US,Colorado,2020-06-01,191249,10516,176810,14439,9822,694,14513,749,-74,-55
US,Colorado,2020-06-08,200645,11027,191249,9396,10516,511,14439,694,-5043,-183
US,Colorado,2020-06-15,209387,11428,200645,8742,11027,401,9396,511,-654,-110
US,Colorado,2020-06-22,220357,11675,209387,10970,11428,247,8742,401,2228,-154
US,Colorado,2020-06-29,233150,11872,220357,12793,11675,197,10970,247,1823,-50
US,Colorado,2020-07-06,249257,11971,233150,16107,11872,99,12793,197,3314,-98
US,Colorado,2020-07-13,271077,12209,249257,21820,11971,238,16107,99,5713,139
US,Colorado,2020-07-20,296741,12456,271077,25664,12209,247,21820,238,3844,9
US,Colorado,2020-07-27,323682,12776,296741,26941,12456,320,25664,247,1277,73
US,Colorado,2020-08-03,345663,12968,323682,21981,12776,192,26941,320,-4960,-128
US,Colorado,2020-08-10,365006,13173,345663,19343,12968,205,21981,192,-2638,13
US,Colorado,2020-08-17,379388,13344,365006,14382,13173,171,19343,205,-4961,-34
US,Colorado,2020-08-24,394513,13524,379388,15125,13344,180,14382,171,743,9
US,Colorado,2020-08-31,408049,13696,394513,13536,13524,172,15125,180,-1589,-8
US,Colorado,2020-09-07,421932,13863,408049,13883,13696,167,13536,172,347,-5
US,Colorado,2020-09-14,442580,14030,421932,20648,13863,167,13883,167,6765,0
US,Colorado,2020-09-21,470853,14221,442580,28273,14030,191,20648,167,7625,24
US,Colorado,2020-09-28,498798,14380,470853,27945,14221,159,28273,191,-328,-32
US,Colorado,2020-10-05,531157,14658,498798,32359,14380,278,27945,159,4414,119
US,Colorado,2020-10-12,574718,15115,531157,43561,14658,457,32359,278,11202,179
US,Colorado,2020-10-19,633088,15406,574718,58370,15115,291,43561,457,14809,-166
US,Colorado,2020-10-26,719941,15830,633088,86853,15406,424,58370,291,28483,133
US,Colorado,2020-11-02,848919,16448,719941,128978,15830,618,86853,424,42125,194
US,Colorado,2020-11-09,1039654,17321,848919,190735,16448,873,128978,618,61757,255
US,Colorado,2020-11-16,1281097,18905,1039654,241443,17321,1584,190735,873,50708,711
US,Colorado,2020-11-23,1511049,20496,1281097,229952,18905,1591,241443,1584,-11491,7
US,Colorado,2020-11-30,1728746,22710,1511049,217697,20496,2214,229952,1591,-12255,623
US,Connecticut,2020-03-10,67,0,,,,,,,,
US,Connecticut,2020-03-16,1040,17,67,973,0,17,,,,
US,Connecticut,2020-03-23,7728,156,1040,6688,17,139,973,17,5715,122
