Country_Region,Last_Update,Confirmed,Deaths,ConfirmedPrevious,ConfirmedDailyIncrease,DeathsPrevious,DeathsDailyIncrease,ConfirmedPreviousIncrease,DeathsPreviousIncrease,ConfirmedSDSMA4,DeathsSDSMA4
France,2458872.5,3,,,,,,,,,
France,2458875.5,6,0,3,3,,,,,,
France,2458882.5,11,0,6,5,0,0,3,,2,
France,2458889.5,12,1,11,1,0,1,5,0,-4,1
France,2458896.5,12,1,12,0,1,0,1,1,-1,-1
France,2458903.5,130,2,12,118,1,1,0,0,118,1
France,2458910.5,1115,19,130,985,2,17,118,1,867,16
France,2458917.5,4513,91,1115,3398,19,72,985,17,2413,55
France,2458924.5,16729,676,4513,12216,91,585,3398,72,8818,513
France,2458931.5,40295,2608,16729,23566,676,1932,12216,585,11350,1347
France,2458938.5,70594,8081,40295,30299,2608,5473,23566,1932,6733,3541
France,2458945.5,120749,14396,70594,50155,8081,6315,30299,5473,19856,842
France,2458952.5,153041,19718,120749,32292,14396,5322,50155,6315,-17863,-993
France,2458959.5,162280,22861,153041,9239,19718,3143,32292,5322,-23053,-2179
France,2458966.5,170540,24898,162280,8260,22861,2037,9239,3143,-979,-1106
France,2458973.5,178405,26383,170540,7865,24898,1485,8260,2037,-395,-552
France,2458980.5,181703,28113,178405,3298,26383,1730,7865,1485,-4567,245
France,2458987.5,184260,28372,181703,2557,28113,259,3298,1730,-741,-1471
France,2458994.5,190975,28805,184260,6715,28372,433,2557,259,4158,174
France,2459001.5,193231,29158,190975,2256,28805,353,6715,433,-4459,-80
France,2459008.5,196542,29411,193231,3311,29158,253,2256,353,1055,-100
France,2459015.5,199862,29644,196542,3320,29411,233,3311,253,9,-20
France,2459022.5,203158,29781,199862,3296,29644,137,3320,233,-24,-96
France,2459029.5,206681,29896,203158,3523,29781,115,3296,137,227,-22
France,2459036.5,210401,30012,206681,3720,29896,116,3523,115,197,1
France,2459043.5,214178,30158,210401,3777,30012,146,3720,116,57,30
France,2459050.5,220020,30196,214178,5842,30158,38,3777,146,2065,-108
France,2459057.5,227305,30268,220020,7285,30196,72,5842,38,1443,34
France,2459064.5,237437,30329,227305,10132,30268,61,7285,72,2847,-11
France,2459071.5,257994,30414,237437,20557,30329,85,10132,61,10425,24
France,2459078.5,282498,30518,257994,24504,30414,104,20557,85,3947,19
France,2459085.5,318047,30615,282498,35549,30518,97,24504,104,11045,-7
France,2459092.5,364943,30717,318047,46896,30615,102,35549,97,11347,5
France,2459099.5,421519,30929,364943,56576,30717,212,46896,102,9680,110
France,2459106.5,493500,31298,421519,71981,30929,369,56576,212,15405,157
France,2459113.5,579223,31741,493500,85723,31298,443,71981,369,13742,74
France,2459120.5,660372,32228,579223,81149,31741,487,85723,443,-4574,44
France,2459127.5,777378,32730,660372,117006,32228,502,81149,487,35857,15
France,2459134.5,940548,33483,777378,163170,32730,753,117006,502,46164,251
France,2459141.5,1183563,34786,940548,243015,33483,1303,163170,753,79845,550
France,2459148.5,1460543,37058,1183563,276980,34786,2272,243015,1303,33965,969
France,2459155.5,1837134,40490,1460543,376591,37058,3432,276980,2272,99611,1160
France,2459162.5,2033419,44613,1837134,196285,40490,4123,376591,3432,-180306,691
France,2459169.5,2192768,48805,2033419,159349,44613,4192,196285,4123,-36936,69
France,2459176.5,2272520,52410,2192768,79752,48805,3605,159349,4192,-79597,-587
France,2459183.5,2347595,55247,2272520,75075,52410,2837,79752,3605,-4677,-768
France,2459190.5,2432559,58015,2347595,84964,55247,2768,75075,2837,9889,-69
France,2459197.5,2529756,60665,2432559,97197,58015,2650,84964,2768,12233,-118
France,2459204.5,2616510,62867,2529756,86754,60665,2202,97197,2650,-10443,-448
France,2459215.5,2712975,65164,2616510,96465,62867,2297,86754,2202,9711,95
France,2459218.5,2763370,66700,2712975,50395,65164,1536,96465,2297,-46070,-761
Italy,2458879.5,2,0,,,,,,,,
Italy,2458882.5,3,0,2,1,0,0,,,,
Italy,2458889.5,3,0,3,0,0,0,1,0,-1,0
Italy,2458896.5,155,3,3,152,0,3,0,0,152,3
Italy,2458903.5,1694,34,155,1539,3,31,152,3,1387,28
Italy,2458910.5,7375,366,1694,5681,34,332,1539,31,4142,301
Italy,2458917.5,24747,1809,7375,17372,366,1443,5681,332,11691,1111
Italy,2458924.5,59138,5476,24747,34391,1809,3667,17372,1443,17019,2224
Italy,2458931.5,97689,10779,59138,38551,5476,5303,34391,3667,4160,1636
Italy,2458938.5,128948,15887,97689,31259,10779,5108,38551,5303,-7292,-195
Italy,2458945.5,156363,19899,128948,27415,15887,4012,31259,5108,-3844,-1096
Italy,2458952.5,178972,23660,156363,22609,19899,3761,27415,4012,-4806,-251
Italy,2458959.5,197675,26644,178972,18703,23660,2984,22609,3761,-3906,-777
Italy,2458966.5,210717,28884,197675,13042,26644,2240,18703,2984,-5661,-744
Italy,2458973.5,219070,30560,210717,8353,28884,1676,13042,2240,-4689,-564
Italy,2458980.5,225435,31908,219070,6365,30560,1348,8353,1676,-1988,-328
Italy,2458987.5,229858,32785,225435,4423,31908,877,6365,1348,-1942,-471
Italy,2458994.5,232997,33415,229858,3139,32785,630,4423,877,-1284,-247
Italy,2459001.5,234998,33899,232997,2001,33415,484,3139,630,-1138,-146
Italy,2459008.5,236989,34345,234998,1991,33899,446,2001,484,-10,-38
Italy,2459015.5,238499,34634,236989,1510,34345,289,1991,446,-481,-157
Italy,2459022.5,240310,34738,238499,1811,34634,104,1510,289,301,-185
Italy,2459029.5,241611,34861,240310,1301,34738,123,1811,104,-510,19
Italy,2459036.5,243061,34954,241611,1450,34861,93,1301,123,149,-30
Italy,2459043.5,244434,35045,243061,1373,34954,91,1450,93,-77,-2
Italy,2459050.5,246118,35107,244434,1684,35045,62,1373,91,311,-29
Italy,2459057.5,248070,35154,246118,1952,35107,47,1684,62,268,-15
Italy,2459064.5,250566,35205,248070,2496,35154,51,1952,47,544,4
Italy,2459071.5,253915,35396,250566,3349,35205,191,2496,51,853,140
Italy,2459078.5,259345,35437,253915,5430,35396,41,3349,191,2081,-150
Italy,2459085.5,268218,35477,259345,8873,35437,40,5430,41,3443,-1
Italy,2459092.5,277634,35541,268218,9416,35477,64,8873,40,543,24
Italy,2459099.5,287753,35610,277634,10119,35541,69,9416,64,703,5
Italy,2459106.5,298156,35707,287753,10403,35610,97,10119,69,284,28
Italy,2459113.5,309870,35835,298156,11714,35707,128,10403,97,1311,31
Italy,2459120.5,325329,35986,309870,15459,35835,151,11714,128,3745,23
Italy,2459127.5,354950,36166,325329,29621,35986,180,15459,151,14162,29
Italy,2459134.5,414241,36543,354950,59291,36166,377,29621,180,29670,197
Italy,2459141.5,525782,37338,414241,111541,36543,795,59291,377,52250,418
Italy,2459148.5,709335,38826,525782,183553,37338,1488,111541,795,72012,693
Italy,2459155.5,935104,41394,709335,225769,38826,2568,183553,1488,42216,1080
Italy,2459162.5,1178529,45229,935104,243425,41394,3835,225769,2568,17656,1267
Italy,2459169.5,1408868,49823,1178529,230339,45229,4594,243425,3835,-13086,759
Italy,2459176.5,1585178,54904,1408868,176310,49823,5081,230339,4594,-54029,487
Italy,2459183.5,1728878,60078,1585178,143700,54904,5174,176310,5081,-32610,93
Italy,2459190.5,1843712,64520,1728878,114834,60078,4442,143700,5174,-28866,-732
Italy,2459197.5,1953185,68799,1843712,109473,64520,4279,114834,4442,-5361,-163
Italy,2459204.5,2047696,71925,1953185,94511,68799,3126,109473,4279,-14962,-1153
Italy,2459215.5,2155446,75332,2047696,107750,71925,3407,94511,3126,13239,281
Italy,2459218.5,2220361,77291,2155446,64915,75332,1959,107750,3407,-42835,-1448
Spain,2458880.5,1,0,,,,,,,,
Spain,2458882.5,2,0,1,1,0,0,,,,
Spain,2458889.5,2,0,2,0,0,0,1,0,-1,0
Spain,2458896.5,2,0,2,0,0,0,0,0,0,0
Spain,2458903.5,84,0,2,82,0,0,0,0,82,0
Spain,2458910.5,673,17,84,589,0,17,82,0,507,17
Spain,2458917.5,7798,289,673,7125,17,272,589,17,6536,255
Spain,2458924.5,28603,1756,7798,20805,289,1467,7125,272,13680,1195
Spain,2458931.5,80110,6803,28603,51507,1756,5047,20805,1467,30702,3580
Spain,2458938.5,131646,12641,80110,51536,6803,5838,51507,5047,29,791
Spain,2458945.5,166831,17209,131646,35185,12641,4568,51536,5838,-16351,-1270
Spain,2458952.5,198674,20453,166831,31843,17209,3244,35185,4568,-3342,-1324
Spain,2458959.5,226629,23190,198674,27955,20453,2737,31843,3244,-3888,-507
Spain,2458966.5,236899,25264,226629,10270,23190,2074,27955,2737,-17685,-663
Spain,2458973.5,224350,26621,236899,-12549,25264,1357,10270,2074,-22819,-717
Spain,2458980.5,230698,27563,224350,6348,26621,942,-12549,1357,18897,-415
Spain,2458987.5,235772,28752,230698,5074,27563,1189,6348,942,-1274,247
Spain,2458994.5,239479,27127,235772,3707,28752,-1625,5074,1189,-1367,-2814
Spain,2459001.5,241550,27136,239479,2071,27127,9,3707,-1625,-1636,1634
Spain,2459008.5,243928,27136,241550,2378,27136,0,2071,9,307,-9
Spain,2459015.5,246272,28323,243928,2344,27136,1187,2378,0,-34,1187
Spain,2459022.5,248770,28343,246272,2498,28323,20,2344,1187,154,-1167
Spain,2459029.5,250545,28385,248770,1775,28343,42,2498,20,-723,22
Spain,2459036.5,253908,28403,250545,3363,28385,18,1775,42,1588,-24
Spain,2459043.5,260255,28420,253908,6347,28403,17,3363,18,2984,-1
Spain,2459050.5,272421,28432,260255,12166,28420,12,6347,17,5819,-5
Spain,2459057.5,288522,28445,272421,16101,28432,13,12166,12,3935,1
Spain,2459064.5,314362,28503,288522,25840,28445,58,16101,13,9739,45
Spain,2459071.5,342813,28617,314362,28451,28503,114,25840,58,2611,56
Spain,2459078.5,386054,28838,342813,43241,28617,221,28451,114,14790,107
Spain,2459085.5,439286,29011,386054,53232,28838,173,43241,221,9991,-48
Spain,2459092.5,498989,29418,439286,59703,29011,407,53232,173,6471,234
Spain,2459099.5,566326,29747,498989,67337,29418,329,59703,407,7634,-78
Spain,2459106.5,640040,30495,566326,73714,29747,748,67337,329,6377,419
Spain,2459113.5,716481,31232,640040,76441,30495,737,73714,748,2727,-11
Spain,2459120.5,789932,32086,716481,73451,31232,854,76441,737,-2990,117
Spain,2459127.5,861112,32929,789932,71180,32086,843,73451,854,-2271,-11
Spain,2459134.5,936560,33775,861112,75448,32929,846,71180,843,4268,3
Spain,2459141.5,1046132,34752,936560,109572,33775,977,75448,846,34124,131
Spain,2459148.5,1185678,35878,1046132,139546,34752,1126,109572,977,29974,149
Spain,2459155.5,1328832,38833,1185678,143154,35878,2955,139546,1126,3608,1829
Spain,2459162.5,1458591,40769,1328832,129759,38833,1936,143154,2955,-13395,-1019
Spain,2459169.5,1556730,42619,1458591,98139,40769,1850,129759,1936,-31620,-86
Spain,2459176.5,1628208,44668,1556730,71478,42619,2049,98139,1850,-26661,199
Spain,2459183.5,1684647,46252,1628208,56439,44668,1584,71478,2049,-15039,-465
Spain,2459190.5,1730575,47624,1684647,45928,46252,1372,56439,1584,-10511,-212
Spain,2459197.5,1797236,48926,1730575,66661,47624,1302,45928,1372,20733,-70
Spain,2459204.5,1854951,49824,1797236,57715,48926,898,66661,1302,-8946,-404
Spain,2459215.5,1928265,50837,1854951,73314,49824,1013,57715,898,15599,115
Spain,2459218.5,2024904,51675,1928265,96639,50837,838,73314,1013,23325,-175
US,2458870.5,5,,,,,,,,,
US,2458875.5,8,0,5,3,,,,,,
US,2458882.5,12,0,8,4,0,0,3,,1,
US,2458889.5,15,0,12,3,0,0,4,0,-1,0
US,2458896.5,35,0,15,20,0,0,3,0,17,0
US,2458903.5,76,1,35,41,0,1,20,0,21,1
US,2458910.5,537,21,76,461,1,20,41,1,420,19
US,2458917.5,3499,63,537,2962,21,42,461,20,2501,22
US,2458924.5,33871,427,3499,30372,63,364,2962,42,27410,322
US,2458931.5,140964,2468,33871,107093,427,2041,30372,364,76721,1677
US,2458938.5,337246,9731,140964,196282,2468,7263,107093,2041,89189,5222
US,2458945.5,555520,22105,337246,218274,9731,12374,196282,7263,21992,5111
US,2458952.5,759198,40746,555520,203678,22105,18641,218274,12374,-14596,6267
US,2458959.5,965921,54979,759198,206723,40746,14233,203678,18641,3045,-4408
US,2458966.5,1158254,67784,965921,192333,54979,12805,206723,14233,-14390,-1428
US,2458973.5,1329902,79619,1158254,171648,67784,11835,192333,12805,-20685,-970
US,2458980.5,1487357,89671,1329902,157455,79619,10052,171648,11835,-14193,-1783
US,2458987.5,1643544,97813,1487357,156187,89671,8142,157455,10052,-1268,-1910
US,2458994.5,1790526,104464,1643544,146982,97813,6651,156187,8142,-9205,-1491
US,2459001.5,1944809,110617,1790526,154283,104464,6153,146982,6651,7301,-498
US,2459008.5,2095220,115814,1944809,150411,110617,5197,154283,6153,-3872,-956
US,2459015.5,2281768,120058,2095220,186548,115814,4244,150411,5197,36137,-953
US,2459022.5,2551483,125917,2281768,269715,120058,5859,186548,4244,83167,1615
US,2459029.5,2891227,130119,2551483,339744,125917,4202,269715,5859,70029,-1657
US,2459036.5,3308038,135388,2891227,416811,130119,5269,339744,4202,77067,1067
US,2459043.5,3775203,140809,3308038,467165,135388,5421,416811,5269,50354,152
US,2459050.5,4235884,147311,3775203,460681,140809,6502,467165,5421,-6484,1081
US,2459057.5,4670413,155298,4235884,434529,147311,7987,460681,6502,-26152,1485
US,2459064.5,5050312,163338,4670413,379899,155298,8040,434529,7987,-54630,53
US,2459071.5,5407963,170440,5050312,357651,163338,7102,379899,8040,-22248,-938
US,2459078.5,5707716,177136,5407963,299753,170440,6696,357651,7102,-57898,-406
US,2459085.5,6000408,183446,5707716,292692,177136,6310,299753,6696,-7061,-386
US,2459092.5,6282878,189233,6000408,282470,183446,5787,292692,6310,-10222,-523
US,2459099.5,6526807,194369,6282878,243929,189233,5136,282470,5787,-38541,-651
US,2459106.5,6815265,199790,6526807,288458,194369,5421,243929,5136,44529,285
US,2459113.5,7128099,205188,6815265,312834,199790,5398,288458,5421,24376,-23
US,2459120.5,7430830,210184,7128099,302731,205188,4996,312834,5398,-10103,-402
US,2459127.5,7780845,215197,7430830,350015,210184,5013,302731,4996,47284,17
US,2459134.5,8173553,220152,7780845,392708,215197,4955,350015,5013,42693,-58
US,2459141.5,8668258,225773,8173553,494705,220152,5621,392708,4955,101997,666
US,2459148.5,9273767,231545,8668258,605509,225773,5772,494705,5621,110804,151
US,2459155.5,10082824,238635,9273767,809057,231545,7090,605509,5772,203548,1318
US,2459162.5,11106131,246656,10082824,1023307,238635,8021,809057,7090,214250,931
US,2459169.5,12312638,257189,11106131,1206507,246656,10533,1023307,8021,183200,2512
US,2459176.5,13453833,267269,12312638,1141195,257189,10080,1206507,10533,-65312,-453
US,2459183.5,14842119,282592,13453833,1388286,267269,15323,1141195,10080,247091,5243
US,2459190.5,16345678,299530,14842119,1503559,282592,16938,1388286,15323,115273,1615
US,2459197.5,17855225,317875,16345678,1509547,299530,18345,1503559,16938,5988,1407
US,2459204.5,19150811,333282,17855225,1295586,317875,15407,1509547,18345,-213961,-2938
US,2459215.5,20643229,351646,19150811,1492418,333282,18364,1295586,15407,196832,2957
US,2459218.5,21574043,365208,20643229,930814,351646,13562,1492418,18364,-561604,-4802
"United Kingdom",2458879.5,2,0,,,,,,,,
"United Kingdom",2458882.5,3,0,2,1,0,0,,,,
"United Kingdom",2458889.5,9,0,3,6,0,0,1,0,5,0
"United Kingdom",2458896.5,9,0,9,0,0,0,6,0,-6,0
"United Kingdom",2458903.5,36,0,9,27,0,0,0,0,27,0
"United Kingdom",2458910.5,273,3,36,237,0,3,27,0,210,3
"United Kingdom",2458917.5,1144,21,273,871,3,18,237,3,634,15
"United Kingdom",2458924.5,5741,282,1144,4597,21,261,871,18,3726,243
"United Kingdom",2458931.5,19780,1231,5741,14039,282,949,4597,261,9442,688
"United Kingdom",2458938.5,48436,4943,19780,28656,1231,3712,14039,949,14617,2763
"United Kingdom",2458945.5,85206,10629,48436,36770,4943,5686,28656,3712,8114,1974
"United Kingdom",2458952.5,121172,16095,85206,35966,10629,5466,36770,5686,-804,-220
"United Kingdom",2458959.5,154037,20794,121172,32865,16095,4699,35966,5466,-3101,-767
"United Kingdom",2458966.5,187842,28520,154037,33805,20794,7726,32865,4699,940,3027
"United Kingdom",2458973.5,220449,31930,187842,32607,28520,3410,33805,7726,-1198,-4316
"United Kingdom",2458980.5,244995,34716,220449,24546,31930,2786,32607,3410,-8061,-624
"United Kingdom",2458987.5,260916,36875,244995,15921,34716,2159,24546,2786,-8625,-627
"United Kingdom",2458994.5,276156,38571,260916,15240,36875,1696,15921,2159,-681,-463
"United Kingdom",2459001.5,287621,40625,276156,11465,38571,2054,15240,1696,-3775,358
"United Kingdom",2459008.5,297342,41783,287621,9721,40625,1158,11465,2054,-1744,-896
"United Kingdom",2459015.5,305803,42717,297342,8461,41783,934,9721,1158,-1260,-224
"United Kingdom",2459022.5,312640,43634,305803,6837,42717,917,8461,934,-1624,-17
"United Kingdom",2459029.5,314992,44305,312640,2352,43634,671,6837,917,-4485,-246
"United Kingdom",2459036.5,291154,44904,314992,-23838,44305,599,2352,671,-26190,-72
"United Kingdom",2459043.5,296358,45385,291154,5204,44904,481,-23838,599,29042,-118
"United Kingdom",2459050.5,301020,45837,296358,4662,45385,452,5204,481,-542,-29
"United Kingdom",2459057.5,306319,46286,301020,5299,45837,449,4662,452,637,-3
"United Kingdom",2459064.5,312574,46659,306319,6255,46286,373,5299,449,956,-76
"United Kingdom",2459071.5,320343,46791,312574,7769,46659,132,6255,373,1514,-241
"United Kingdom",2459078.5,327643,41515,320343,7300,46791,-5276,7769,132,-469,-5408
"United Kingdom",2459085.5,336668,41586,327643,9025,41515,71,7300,-5276,1725,5347
"United Kingdom",2459092.5,349500,41640,336668,12832,41586,54,9025,71,3807,-17
"United Kingdom",2459099.5,370930,41717,349500,21430,41640,77,12832,54,8598,23
"United Kingdom",2459106.5,396744,41866,370930,25814,41717,149,21430,77,4384,72
"United Kingdom",2459113.5,437517,42077,396744,40773,41866,211,25814,149,14959,62
"United Kingdom",2459120.5,505619,42440,437517,68102,42077,363,40773,211,27329,152
"United Kingdom",2459127.5,606447,42915,505619,100828,42440,475,68102,363,32726,112
"United Kingdom",2459134.5,725292,43736,606447,118845,42915,821,100828,475,18017,346
"United Kingdom",2459141.5,876840,44986,725292,151548,43736,1250,118845,821,32703,429
"United Kingdom",2459148.5,1038054,46807,876840,161214,44986,1821,151548,1250,9666,571
"United Kingdom",2459155.5,1195350,49134,1038054,157296,46807,2327,161214,1821,-3918,506
"United Kingdom",2459162.5,1372884,52026,1195350,177534,49134,2892,157296,2327,20238,565
"United Kingdom",2459169.5,1515802,55120,1372884,142918,52026,3094,177534,2892,-34616,202
"United Kingdom",2459176.5,1621305,58342,1515802,105503,55120,3222,142918,3094,-37415,128
"United Kingdom",2459183.5,1727751,61342,1621305,106446,58342,3000,105503,3222,943,-222
"United Kingdom",2459190.5,1854490,64267,1727751,126739,61342,2925,106446,3000,20293,-75
"United Kingdom",2459197.5,2046161,67503,1854490,191671,64267,3236,126739,2925,64932,311
"United Kingdom",2459204.5,2295228,70860,2046161,249067,67503,3357,191671,3236,57396,121
"United Kingdom",2459215.5,2662699,75137,2295228,367471,70860,4277,249067,3357,118404,920
"United Kingdom",2459218.5,2898052,78632,2662699,235353,75137,3495,367471,4277,-132118,-782
