FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
26055,Grand Traverse,Michigan,US,2020-03-24,44.69565625,-85.55585247,3,0,0,0,"Grand Traverse, Michigan, US"
30039,Granite,Montana,US,2020-03-24,46.40605220000001,-113.4414186,0,0,0,0,"Granite, Montana, US"
05053,Grant,Arkansas,US,2020-03-23,34.29017991,-92.42320562,3,0,0,0,"Grant, Arkansas, US"
18053,Grant,Indiana,US,2020-03-22,40.51587228,-85.65468702,3,0,0,0,"Grant, Indiana, US"
20067,Grant,Kansas,US,2020-03-24,37.56227336,-101.3079758,0,0,0,0,"Grant, Kansas, US"
21081,Grant,Kentucky,US,2020-03-24,38.64962758,-84.62415957,0,0,0,0,"Grant, Kentucky, US"
22043,Grant,Louisiana,US,2020-03-24,31.59882456,-92.56124347,1,0,0,0,"Grant, Louisiana, US"
27051,Grant,Minnesota,US,2020-03-24,45.93424769,-96.01139609,0,0,0,0,"Grant, Minnesota, US"
31075,Grant,Nebraska,US,2020-03-24,41.91528587,-101.740701,0,0,0,0,"Grant, Nebraska, US"
35017,Grant,New Mexico,US,2020-03-24,32.73911281,-108.3827845,0,0,0,0,"Grant, New Mexico, US"
38037,Grant,North Dakota,US,2020-03-24,46.35821257,-101.63900129999999,0,0,0,0,"Grant, North Dakota, US"
40053,Grant,Oklahoma,US,2020-03-24,36.796296999999996,-97.78638765,0,0,0,0,"Grant, Oklahoma, US"
41023,Grant,Oregon,Canada,2020-03-24,44.49024544,-119.0068631,1,0,0,0,"Grant, Oregon, US"
46051,Grant,South Dakota,US,2020-03-24,45.1723937,-96.77002276,0,0,0,0,"Grant, South Dakota, US"
53025,Grant,Washington,US,2020-03-24,47.20753737,-119.4500749,23,1,0,0,"Grant, Washington, US"
